	Symbol	Entrez
ENSG00000116708	NA	NA
ENSG00000116711	PLA2G4A	5321
ENSG00000116717	GADD45A	1647
ENSG00000116721	PRAMEF1	65121
ENSG00000116726	PRAMEF12	390999
ENSG00000116729	WLS	79971
ENSG00000116731	PRDM2	7799
ENSG00000116741	RGS2	5997
ENSG00000116745	RPE65	6121
ENSG00000116747	TROVE2	6738
ENSG00000116748	AMPD1	270
ENSG00000116750	UCHL5	51377
ENSG00000116752	BCAS2	10286
ENSG00000116754	SRSF11	9295
ENSG00000116761	CTH	1491
ENSG00000116771	AGMAT	79814
ENSG00000116774	OLFML3	56944
ENSG00000116783	TNNI3K	51086
ENSG00000116785	CFHR3	10878
ENSG00000116786	PLEKHM2	23207
ENSG00000116791	CRYZ	1429
ENSG00000116793	PHTF1	10745
ENSG00000116809	ZBTB17	7709
ENSG00000116815	CD58	965
ENSG00000116819	TFAP2E	339488
ENSG00000116824	CD2	914
ENSG00000116830	TTF2	8458
ENSG00000116833	NR5A2	2494
ENSG00000116852	KIF21B	23046
ENSG00000116857	TMEM9	252839
ENSG00000116863	ADPRHL2	54936
ENSG00000116871	MAP7D1	55700
ENSG00000116874	WARS2	10352
ENSG00000116882	HAO2	51179
ENSG00000116883		NA
ENSG00000116885	OSCP1	127700
ENSG00000116898	MRPS15	64960
ENSG00000116903	EXOC8	149371
ENSG00000116906	GNPAT	8443
ENSG00000116918	TSNAX	7257
ENSG00000116922	C1orf109	54955
ENSG00000116954	RRAGC	64121
ENSG00000116957	TBCE	6905
ENSG00000116962	NID1	4811
ENSG00000116977	LGALS8	3964
ENSG00000116981	NT5C1A	84618
ENSG00000116983	HPCAL4	51440
ENSG00000116984	MTR	4548
ENSG00000116985	BMP8B	656
ENSG00000116990	MYCL	4610
ENSG00000116991	SIPA1L2	57568
ENSG00000116996	ZP4	57829
ENSG00000117000	RLF	6018
ENSG00000117009	KMO	8564
ENSG00000117010	ZNF684	127396
ENSG00000117013	KCNQ4	9132
ENSG00000117016	RIMS3	9783
ENSG00000117020	AKT3	10000
ENSG00000117036	ETV3	2117
ENSG00000117054	ACADM	34
ENSG00000117069	ST6GALNAC5	81849
ENSG00000117090	SLAMF1	6504
ENSG00000117091	CD48	962
ENSG00000117114	ADGRL2	23266
ENSG00000117115	PADI2	11240
ENSG00000117118	SDHB	6390
ENSG00000117122	MFAP2	4237
ENSG00000117133	RPF1	80135
ENSG00000117139	KDM5B	10765
ENSG00000117143	UAP1	6675
ENSG00000117148	ACTL8	81569
ENSG00000117151	CTBS	1486
ENSG00000117152	RGS4	5999
ENSG00000117153	KLHL12	59349
ENSG00000117154	IGSF21	84966
ENSG00000117155	SSX2IP	117178
ENSG00000117174	ZNHIT6	54680
ENSG00000117215	PLA2G2D	26279
ENSG00000117222	RBBP5	5929
ENSG00000117226	GBP3	2635
ENSG00000117228	GBP1	2633
ENSG00000117242	PINK1-AS	100861548
ENSG00000117245	KIF17	57576
ENSG00000117262	GPR89A	653519
ENSG00000117266	CDK18	5129
ENSG00000117280	RAB29	8934
ENSG00000117281	CD160	11126
ENSG00000117289	NA	NA
ENSG00000117298	ECE1	1889
ENSG00000117305	HMGCL	3155
ENSG00000117308	GALE	2582
ENSG00000117318	ID3	3399
ENSG00000117322	CR2	1380
ENSG00000117335	CD46	4179
ENSG00000117360	PRPF3	9129
ENSG00000117362	APH1A	51107
ENSG00000117385	P3H1	64175
ENSG00000117394	SLC2A1	6513
ENSG00000117395	EBNA1BP2	10969
ENSG00000117399	CDC20	991
ENSG00000117400	MPL	4352
ENSG00000117407	ARTN	9048
ENSG00000117408	IPO13	9670
ENSG00000117410	ATP6V0B	533
ENSG00000117411	B4GALT2	8704
ENSG00000117419	ERI3	79033
ENSG00000117425	PTCH2	8643
ENSG00000117448	AKR1A1	10327
ENSG00000117450	PRDX1	5052
ENSG00000117461	PIK3R3	8503
ENSG00000117472	TSPAN1	10103
ENSG00000117475	BLZF1	8548
ENSG00000117477	CCDC181	57821
ENSG00000117479	SLC19A2	10560
ENSG00000117480	FAAH	2166
ENSG00000117481	NSUN4	387338
ENSG00000117500	TMED5	50999
ENSG00000117501	MROH9	80133
ENSG00000117505	DR1	1810
ENSG00000117507	FMO6P	388714
ENSG00000117519	CNN3	1266
ENSG00000117523	PRRC2C	23215
ENSG00000117525	F3	2152
ENSG00000117528	ABCD3	5825
ENSG00000117533	VAMP4	8674
ENSG00000117543	DPH5	51611
ENSG00000117560	FASLG	356
ENSG00000117569	PTBP2	58155
ENSG00000117586	TNFSF4	7292
ENSG00000117592	PRDX6	9588
ENSG00000117593	DARS2	55157
ENSG00000117594	HSD11B1	3290
ENSG00000117595	IRF6	3664
ENSG00000117597	DIEXF	27042
ENSG00000117598	PLPPR5	163404
ENSG00000117600	PLPPR4	9890
ENSG00000117601	SERPINC1	462
ENSG00000117602	RCAN3	11123
ENSG00000117614	SYF2	25949
ENSG00000117616	RSRP1	57035
ENSG00000117620	SLC35A3	23443
ENSG00000117625	RCOR3	55758
ENSG00000117632	STMN1	3925
ENSG00000117640	MTFR1L	56181
ENSG00000117643	MAN1C1	57134
ENSG00000117650	NEK2	4751
ENSG00000117676	RPS6KA1	6195
ENSG00000117682	DHDDS	79947
ENSG00000117691	NENF	29937
ENSG00000117697	NSL1	25936
ENSG00000117707	PROX1	5629
ENSG00000117713	ARID1A	8289
ENSG00000117724	CENPF	1063
ENSG00000117748	RPA2	6118
ENSG00000117751	PPP1R8	5511
ENSG00000117758	STX12	23673
ENSG00000117791	Mar-02	54996
ENSG00000117834	SLC5A9	200010
ENSG00000117859	OSBPL9	114883
ENSG00000117862	TXNDC12	51060
ENSG00000117868	ESYT2	57488
ENSG00000117877	CD3EAP	10849
ENSG00000117899	MESDC2	23184
ENSG00000117906	RCN2	5955
ENSG00000117971	CHRNB4	1143
ENSG00000117983	MUC5B	727897
ENSG00000117984	CTSD	1509
ENSG00000118004	COLEC11	78989
ENSG00000118007	STAG1	10274
ENSG00000118017	A4GNT	51146
ENSG00000118046	STK11	6794
ENSG00000118050	NA	NA
ENSG00000118058	KMT2A	4297
ENSG00000118094	TREH	11181
ENSG00000118096	IFT46	56912
ENSG00000118113	MMP8	4317
ENSG00000118137	APOA1	335
ENSG00000118156	ZNF541	84215
ENSG00000118160	SLC8A2	6543
ENSG00000118162	KPTN	11133
ENSG00000118168	NA	NA
ENSG00000118181	RPS25	6230
ENSG00000118193	KIF14	9928
ENSG00000118194	TNNT2	7139
ENSG00000118197	DDX59	83479
ENSG00000118200	CAMSAP2	23271
ENSG00000118217	ATF6	22926
ENSG00000118231	CRYGD	1421
ENSG00000118242	MREG	55686
ENSG00000118245	TNP1	7141
ENSG00000118246	FASTKD2	22868
ENSG00000118257	NRP2	8828
ENSG00000118260	CREB1	1385
ENSG00000118263	KLF7	8609
ENSG00000118267	NA	NA
ENSG00000118271	TTR	7276
ENSG00000118276	B4GALT6	9331
ENSG00000118292	C1orf54	79630
ENSG00000118298	CA14	23632
ENSG00000118307	CASC1	55259
ENSG00000118308	LRMP	4033
ENSG00000118322	ATP10B	23120
ENSG00000118363	SPCS2	9789
ENSG00000118369	USP35	57558
ENSG00000118402	ELOVL4	6785
ENSG00000118407	FILIP1	27145
ENSG00000118412	CASP8AP2	9994
ENSG00000118418	HMGN3	9324
ENSG00000118420	UBE3D	90025
ENSG00000118432	CNR1	1268
ENSG00000118434	SPACA1	81833
ENSG00000118454	ANKRD13C	81573
ENSG00000118473	SGIP1	84251
ENSG00000118479	NA	NA
ENSG00000118482	PHF3	23469
ENSG00000118487	NA	NA
ENSG00000118491	ZC2HC1B	153918
ENSG00000118492	ADGB	79747
ENSG00000118495	PLAGL1	5325
ENSG00000118496	FBXO30	84085
ENSG00000118503	TNFAIP3	7128
ENSG00000118507	AKAP7	9465
ENSG00000118508	RAB32	10981
ENSG00000118513	MYB	4602
ENSG00000118514	ALDH8A1	64577
ENSG00000118515	SGK1	6446
ENSG00000118518	RNF146	81847
ENSG00000118520	ARG1	383
ENSG00000118523	CTGF	1490
ENSG00000118526	TCF21	6943
ENSG00000118557	PMFBP1	83449
ENSG00000118564	FBXL5	26234
ENSG00000118579	MED28	80306
ENSG00000118596	SLC16A7	9194
ENSG00000118600	TMEM5	10329
ENSG00000118620	ZNF430	80264
ENSG00000118640	VAMP8	8673
ENSG00000118655	DCLRE1B	64858
ENSG00000118680	MYL12B	103910
ENSG00000118689	FOXO3	2309
ENSG00000118690	ARMC2	84071
ENSG00000118702	GHRH	2691
ENSG00000118705	RPN2	6185
ENSG00000118707	TGIF2	60436
ENSG00000118729	CASQ2	845
ENSG00000118733	OLFM3	118427
ENSG00000118762	PKD2	5311
ENSG00000118777	ABCG2	9429
ENSG00000118785	SPP1	6696
ENSG00000118804	STBD1	8987
ENSG00000118816	CCNI	10983
ENSG00000118849	RARRES1	5918
ENSG00000118855	MFSD1	64747
ENSG00000118873	RAB3GAP2	25782
ENSG00000118894	EEF2KMT	196483
ENSG00000118898	PPL	5493
ENSG00000118900	UBN1	29855
ENSG00000118903	BTF3P11	NA
ENSG00000118922	KLF12	11278
ENSG00000118928	NA	NA
ENSG00000118939	UCHL3	7347
ENSG00000118946	PCDH17	27253
ENSG00000118960	HS1BP3	64342
ENSG00000118961	LDAH	60526
ENSG00000118965	WDR35	57539
ENSG00000118971	CCND2	894
ENSG00000118972	FGF23	8074
ENSG00000118976	OTUD4P1	NA
ENSG00000118985	ELL2	22936
ENSG00000118990	GLRXP3	NA
ENSG00000118997	DNAH7	56171
ENSG00000119004	CYP20A1	57404
ENSG00000119013	NDUFB3	4709
ENSG00000119041	GTF3C3	9330
ENSG00000119042	SATB2	23314
ENSG00000119048	UBE2B	7320
ENSG00000119121	TRPM6	140803
ENSG00000119125	GDA	9615
ENSG00000119138	KLF9	687
ENSG00000119139	TJP2	9414
ENSG00000119147	C2orf40	84417
ENSG00000119185	ITGB1BP1	9270
ENSG00000119203	CPSF3	51692
ENSG00000119227	PIGZ	80235
ENSG00000119231	SENP5	205564
ENSG00000119242	CCDC92	80212
ENSG00000119280	C1orf198	84886
ENSG00000119283	TRIM67	440730
ENSG00000119285	HEATR1	55127
ENSG00000119314	PTBP3	9991
ENSG00000119318	RAD23B	5887
ENSG00000119321	FKBP15	23307
ENSG00000119326	CTNNAL1	8727
ENSG00000119328	FAM206A	54942
ENSG00000119333	WDR34	89891
ENSG00000119335	SET	6418
ENSG00000119383	PPP2R4	5524
ENSG00000119392	GLE1	2733
ENSG00000119396	RAB14	51552
ENSG00000119397	CNTRL	11064
ENSG00000119401	TRIM32	22954
ENSG00000119402	FBXW2	26190
ENSG00000119403	PHF19	26147
ENSG00000119408	NEK6	10783
ENSG00000119411	BSPRY	54836
ENSG00000119414	PPP6C	5537
ENSG00000119421	NDUFA8	4702
ENSG00000119431	HDHD3	81932
ENSG00000119440	LCN1P1	NA
ENSG00000119446	RBM18	92400
ENSG00000119457	SLC46A2	57864
ENSG00000119471	HSDL2	84263
ENSG00000119487	MAPKAP1	79109
ENSG00000119508	NR4A3	8013
ENSG00000119509	INVS	27130
ENSG00000119514	GALNT12	79695
ENSG00000119522	DENND1A	57706
ENSG00000119523	ALG2	85365
ENSG00000119535	CSF3R	1441
ENSG00000119537	KDSR	2531
ENSG00000119541	VPS4B	9525
ENSG00000119547	ONECUT2	9480
ENSG00000119559	C19orf25	148223
ENSG00000119574	ZBTB45	84878
ENSG00000119596	YLPM1	56252
ENSG00000119599	DCAF4	26094
ENSG00000119608	PROX2	283571
ENSG00000119614	VSX2	338917
ENSG00000119616	FCF1	51077
ENSG00000119630	PGF	5228
ENSG00000119632	IFI27L2	83982
ENSG00000119636	BBOF1	80127
ENSG00000119638	NEK9	91754
ENSG00000119640	ACYP1	97
ENSG00000119650	IFT43	112752
ENSG00000119655	NPC2	10577
ENSG00000119660	DPPA5P4	NA
ENSG00000119661	DNAL1	83544
ENSG00000119669	IRF2BPL	64207
ENSG00000119673	ACOT2	10965
ENSG00000119681	LTBP2	4053
ENSG00000119682	AREL1	9870
ENSG00000119684	MLH3	27030
ENSG00000119685	TTLL5	23093
ENSG00000119686	FLVCR2	55640
ENSG00000119688	ABCD4	5826
ENSG00000119689	DLST	1743
ENSG00000119698	PPP4R4	57718
ENSG00000119699	TGFB3	7043
ENSG00000119703	ZC2HC1C	79696
ENSG00000119705	SLIRP	81892
ENSG00000119707	RBM25	58517
ENSG00000119711	ALDH6A1	4329
ENSG00000119714	GPR68	8111
ENSG00000119715	ESRRB	2103
ENSG00000119718	EIF2B2	8892
ENSG00000119720	NRDE2	55051
ENSG00000119723	COQ6	51004
ENSG00000119725	ZNF410	57862
ENSG00000119729	RHOQ	23433
ENSG00000119737	GPR75	10936
ENSG00000119760	SUPT7L	9913
ENSG00000119771	KLHL29	114818
ENSG00000119772	DNMT3A	1788
ENSG00000119777	TMEM214	54867
ENSG00000119778	ATAD2B	54454
ENSG00000119782	FKBP1B	2281
ENSG00000119787	ATL2	64225
ENSG00000119801	YPEL5	51646
ENSG00000119812	FAM98A	25940
ENSG00000119820	YIPF4	84272
ENSG00000119826	NA	NA
ENSG00000119838	NA	NA
ENSG00000119844	AFTPH	54812
ENSG00000119862	LGALSL	29094
ENSG00000119865	CNRIP1	25927
ENSG00000119866	BCL11A	53335
ENSG00000119878	CRIPT	9419
ENSG00000119888	EPCAM	4072
ENSG00000119899	SLC17A5	26503
ENSG00000119900	OGFRL1	79627
ENSG00000119906	SLF2	55719
ENSG00000119912	IDE	3416
ENSG00000119913	TECTB	6975
ENSG00000119915	ELOVL3	83401
ENSG00000119916	NA	NA
ENSG00000119917	IFIT3	3437
ENSG00000119919	NKX2-3	159296
ENSG00000119922	IFIT2	3433
ENSG00000119927	GPAM	57678
ENSG00000119929	CUTC	51076
ENSG00000119938	PPP1R3C	5507
ENSG00000119943	PYROXD2	84795
ENSG00000119946	CNNM1	26507
ENSG00000119950	MXI1	4601
ENSG00000119953	SMNDC1	10285
ENSG00000119965	C10orf88	80007
ENSG00000119969	HELLS	3070
ENSG00000119973	PRLHR	2834
ENSG00000119977	TCTN3	26123
ENSG00000119979	FAM45A	404636
ENSG00000119986	AVPI1	60370
ENSG00000120008	WDR11	55717
ENSG00000120029	C10orf76	79591
ENSG00000120049	KCNIP2	30819
ENSG00000120051	CFAP58	159686
ENSG00000120053	GOT1	2805
ENSG00000120054	CPN1	1369
ENSG00000120055	C10orf95	NA
ENSG00000120057	SFRP5	6425
ENSG00000120063	GNA13	10672
ENSG00000120068	HOXB8	3218
ENSG00000120071	KANSL1	284058
ENSG00000120075	HOXB5	3215
ENSG00000120087	NA	NA
ENSG00000120088	CRHR1	1394
ENSG00000120093	HOXB3	3213
ENSG00000120094	HOXB1	3211
ENSG00000120129	DUSP1	1843
ENSG00000120137	PANK3	79646
ENSG00000120149	MSX2	4488
ENSG00000120156	TEK	7010
ENSG00000120158	RCL1	10171
ENSG00000120159	CAAP1	79886
ENSG00000120160	EQTN	54586
ENSG00000120162	MOB3B	79817
ENSG00000120210	INSL6	11172
ENSG00000120211	INSL4	3641
ENSG00000120215	MLANA	2315
ENSG00000120217	CD274	29126
ENSG00000120235	IFNA6	3443
ENSG00000120242	IFNA8	3445
ENSG00000120247	NA	NA
ENSG00000120251	GRIA2	2891
ENSG00000120253	NUP43	348995
ENSG00000120254	MTHFD1L	25902
ENSG00000120256	LRP11	84918
ENSG00000120262	CCDC170	80129
ENSG00000120265	PCMT1	5110
ENSG00000120278	PLEKHG1	57480
ENSG00000120279	MYCT1	80177
ENSG00000120280	CXorf21	80231
ENSG00000120289	MAGEB4	4115
ENSG00000120306	CYSTM1	84418
ENSG00000120314	WDR55	54853
ENSG00000120318	ARAP3	64411
ENSG00000120322	PCDHB8	56128
ENSG00000120324	PCDHB10	56126
ENSG00000120327	PCDHB14	56122
ENSG00000120328	PCDHB12	56124
ENSG00000120329	SLC25A2	83884
ENSG00000120332	TNN	63923
ENSG00000120333	MRPS14	63931
ENSG00000120334	CENPL	91687
ENSG00000120337	TNFSF18	8995
ENSG00000120341	SEC16B	89866
ENSG00000120370	GORAB	92344
ENSG00000120436	GPR31	2853
ENSG00000120437	ACAT2	39
ENSG00000120438	TCP1	6950
ENSG00000120440	TTLL2	83887
ENSG00000120451	SNX19	399979
ENSG00000120457	KCNJ5	3762
ENSG00000120458	MSANTD2	79684
ENSG00000120471	TP53AIP1	63970
ENSG00000120498	TEX11	56159
ENSG00000120500	ARR3	407
ENSG00000120509	PDZD11	51248
ENSG00000120519	SLC10A7	84068
ENSG00000120526	NUDCD1	84955
ENSG00000120533	ENY2	56943
ENSG00000120539	MASTL	84930
ENSG00000120549	KIAA1217	56243
ENSG00000120555	SEPT7P9	NA
ENSG00000120563	LYZL1	84569
ENSG00000120586	NA	NA
ENSG00000120594	PLXDC2	84898
ENSG00000120616	EPC1	80314
ENSG00000120645	IQSEC3	440073
ENSG00000120647	CCDC77	84318
ENSG00000120656	TAF12	6883
ENSG00000120658	ENOX1	55068
ENSG00000120659	TNFSF11	8600
ENSG00000120662	MTRF1	9617
ENSG00000120664	SPG20-AS1	NA
ENSG00000120669	SOHLH2	54937
ENSG00000120675	DNAJC15	29103
ENSG00000120685	PROSER1	80209
ENSG00000120686	UFM1	51569
ENSG00000120688	WBP4	11193
ENSG00000120690	ELF1	1997
ENSG00000120693	SMAD9	4093
ENSG00000120694	HSPH1	10808
ENSG00000120696	KBTBD7	84078
ENSG00000120697	ALG5	29880
ENSG00000120699	EXOSC8	11340
ENSG00000120705	ETF1	2107
ENSG00000120708	TGFBI	7045
ENSG00000120709	FAM53C	51307
ENSG00000120725	SIL1	64374
ENSG00000120727	PAIP2	51247
ENSG00000120729	MYOT	9499
ENSG00000120733	KDM3B	51780
ENSG00000120738	EGR1	1958
ENSG00000120742	SERP1	27230
ENSG00000120756	PLS1	5357
ENSG00000120784	ZFP30	22835
ENSG00000120798	NR2C1	7181
ENSG00000120800	UTP20	27340
ENSG00000120802	TMPO	7112
ENSG00000120805	ARL1	400
ENSG00000120820	GLT8D2	83468
ENSG00000120832	MTERF2	80298
ENSG00000120833	SOCS2	8835
ENSG00000120837	NFYB	4801
ENSG00000120853	NA	NA
ENSG00000120860	CCDC53	51019
ENSG00000120868	APAF1	317
ENSG00000120875	DUSP4	1846
ENSG00000120885	CLU	1191
ENSG00000120889	TNFRSF10B	8795
ENSG00000120896	SORBS3	10174
ENSG00000120899	PTK2B	2185
ENSG00000120903	CHRNA2	1135
ENSG00000120907	ADRA1A	148
ENSG00000120910	PPP3CC	5533
ENSG00000120913	PDLIM2	64236
ENSG00000120915	EPHX2	2053
ENSG00000120925	RNF170	81790
ENSG00000120937	NPPB	4879
ENSG00000120942	UBIAD1	29914
ENSG00000120948	TARDBP	23435
ENSG00000120949	TNFRSF8	943
ENSG00000120952	PRAMEF2	65122
ENSG00000120963	ZNF706	51123
ENSG00000120992	LYPLA1	10434
ENSG00000121005	CRISPLD1	83690
ENSG00000121022	COPS5	10987
ENSG00000121031	NA	NA
ENSG00000121039	RDH10	157506
ENSG00000121053	EPX	8288
ENSG00000121057	AKAP1	8165
ENSG00000121058	COIL	8161
ENSG00000121060	TRIM25	7706
ENSG00000121064	SCPEP1	59342
ENSG00000121067	SPOP	8405
ENSG00000121068	TBX2	6909
ENSG00000121073	SLC35B1	10237
ENSG00000121075	TBX4	9496
ENSG00000121083	NA	NA
ENSG00000121089	NACA3P	NA
ENSG00000121101	TEX14	56155
ENSG00000121104	FAM117A	81558
ENSG00000121152	NCAPH	23397
ENSG00000121207	LRAT	9227
ENSG00000121210	KIAA0922	23240
ENSG00000121211	MND1	84057
ENSG00000121236	TRIM6	117854
ENSG00000121270	ABCC11	85320
ENSG00000121274	PAPD5	64282
ENSG00000121281	ADCY7	113
ENSG00000121289	CEP89	84902
ENSG00000121297	TSHZ3	57616
ENSG00000121310	ECHDC2	55268
ENSG00000121314	TAS2R8	50836
ENSG00000121316	PLBD1	79887
ENSG00000121318	TAS2R10	50839
ENSG00000121335	PRB2	653247
ENSG00000121350	PYROXD1	79912
ENSG00000121351	IAPP	3375
ENSG00000121361	KCNJ8	3764
ENSG00000121377	TAS2R7	50837
ENSG00000121380	BCL2L14	79370
ENSG00000121381	TAS2R9	50835
ENSG00000121388		NA
ENSG00000121390	PSPC1	55269
ENSG00000121406	ZNF549	256051
ENSG00000121410	A1BG	1
ENSG00000121413	ZSCAN18	65982
ENSG00000121417	ZNF211	10520
ENSG00000121440	PDZRN3	23024
ENSG00000121446	RGSL1	353299
ENSG00000121454	LHX4	89884
ENSG00000121481	RNF2	6045
ENSG00000121486	TRMT1L	81627
ENSG00000121495	NA	NA
ENSG00000121542	SEC22A	26984
ENSG00000121552	CSTA	1475
ENSG00000121570	DPPA4	55211
ENSG00000121577	POPDC2	64091
ENSG00000121578	B4GALT4	8702
ENSG00000121579	NAA50	80218
ENSG00000121594	CD80	941
ENSG00000121621	KIF18A	81930
ENSG00000121634	GJA8	2703
ENSG00000121644	DESI2	51029
ENSG00000121653	MAPK8IP1	9479
ENSG00000121671	CRY2	1408
ENSG00000121680	PEX16	9409
ENSG00000121690	DEPDC7	91614
ENSG00000121691	CAT	847
ENSG00000121716	PILRB	29990
ENSG00000121741	ZMYM2	7750
ENSG00000121742	GJB6	10804
ENSG00000121743	GJA3	2700
ENSG00000121749	TBC1D15	64786
ENSG00000121753	ADGRB2	576
ENSG00000121764	HCRTR1	3061
ENSG00000121766	ZCCHC17	51538
ENSG00000121769	FABP3	2170
ENSG00000121774	KHDRBS1	10657
ENSG00000121775	TMEM39B	55116
ENSG00000121797	CCRL2	9034
ENSG00000121807	CCR2	729230
ENSG00000121848	NA	NA
ENSG00000121851	POLR3GL	84265
ENSG00000121853	GHSR	2693
ENSG00000121858	TNFSF10	8743
ENSG00000121864	ZNF639	51193
ENSG00000121871	SLITRK3	22865
ENSG00000121879	PIK3CA	5290
ENSG00000121892	PDS5A	23244
ENSG00000121895	TMEM156	80008
ENSG00000121897	LIAS	11019
ENSG00000121898	CPXM2	119587
ENSG00000121900	TMEM54	113452
ENSG00000121903	ZSCAN20	7579
ENSG00000121904	CSMD2	114784
ENSG00000121905	HPCA	3208
ENSG00000121931	LRIF1	55791
ENSG00000121933	TMIGD3	57413
ENSG00000121940	CLCC1	23155
ENSG00000121957	GPSM2	29899
ENSG00000121964	GTDC1	79712
ENSG00000121966	CXCR4	7852
ENSG00000121988	ZRANB3	84083
ENSG00000121989	ACVR2A	92
ENSG00000122008	POLK	51426
ENSG00000122012	SV2C	22987
ENSG00000122025	FLT3	2322
ENSG00000122026	RPL21	6144
ENSG00000122033	MTIF3	219402
ENSG00000122034	GTF3A	2971
ENSG00000122035	RASL11A	387496
ENSG00000122042	UBL3	5412
ENSG00000122043	LINC00544	NA
ENSG00000122068	FYTTD1	84248
ENSG00000122085	MTERF4	130916
ENSG00000122121	XPNPEP2	7512
ENSG00000122122	SASH3	54440
ENSG00000122126	OCRL	4952
ENSG00000122133	PAEP	5047
ENSG00000122136	OBP2A	29991
ENSG00000122140	MRPS2	51116
ENSG00000122145	TBX22	50945
ENSG00000122176	FMOD	2331
ENSG00000122180	MYOG	4656
ENSG00000122188	LAX1	54900
ENSG00000122194	PLG	5340
ENSG00000122203	KIAA1191	57179
ENSG00000122218	COPA	1314
ENSG00000122223	CD244	51744
ENSG00000122224	LY9	4063
ENSG00000122254	HS3ST2	9956
ENSG00000122257	RBBP6	5930
ENSG00000122299	ZC3H7A	29066
ENSG00000122304	PRM2	5620
ENSG00000122335	SERAC1	84947
ENSG00000122339	NA	NA
ENSG00000122359	ANXA11	311
ENSG00000122367	LDB3	11155
ENSG00000122375	OPN4	94233
ENSG00000122376	FAM35A	54537
ENSG00000122378	FAM213A	84293
ENSG00000122386	ZNF205	7755
ENSG00000122390	NAA60	79903
ENSG00000122406	RPL5	6125
ENSG00000122417	ODF2L	57489
ENSG00000122420	PTGFR	5737
ENSG00000122432	SPATA1	NA
ENSG00000122435	TRMT13	54482
ENSG00000122477	LRRC39	127495
ENSG00000122481	RWDD3	25950
ENSG00000122482	ZNF644	84146
ENSG00000122483	CCDC18	343099
ENSG00000122484	RPAP2	79871
ENSG00000122490	PQLC1	80148
ENSG00000122497	NA	NA
ENSG00000122507	BBS9	27241
ENSG00000122512	PMS2	5395
ENSG00000122515	ZMIZ2	83637
ENSG00000122543	OCM	654231
ENSG00000122545	Sep-07	989
ENSG00000122547	EEPD1	80820
ENSG00000122548	KIAA0087	9808
ENSG00000122550	KLHL7	55975
ENSG00000122557	HERPUD2	64224
ENSG00000122565	CBX3	11335
ENSG00000122566	HNRNPA2B1	3181
ENSG00000122574	WIPF3	644150
ENSG00000122584	NXPH1	30010
ENSG00000122585	NPY	4852
ENSG00000122591	FAM126A	84668
ENSG00000122592	HOXA7	3204
ENSG00000122641	INHBA	3624
ENSG00000122642	FKBP9	11328
ENSG00000122643	NT5C3A	51251
ENSG00000122644	ARL4A	10124
ENSG00000122674	CCZ1	51622
ENSG00000122678	POLM	27434
ENSG00000122679	RAMP3	10268
ENSG00000122687	FTSJ2	29960
ENSG00000122691	TWIST1	7291
ENSG00000122692	SMU1	55234
ENSG00000122694	GLIPR2	152007
ENSG00000122696	SLC25A51	92014
ENSG00000122705	CLTA	1211
ENSG00000122707	RECK	8434
ENSG00000122711	SPINK4	27290
ENSG00000122718	OR2S2	NA
ENSG00000122728	TAF1L	138474
ENSG00000122729	ACO1	48
ENSG00000122733	PHF24	23349
ENSG00000122735	DNAI1	27019
ENSG00000122741	DCAF10	79269
ENSG00000122756	CNTFR	1271
ENSG00000122778	KIAA1549	57670
ENSG00000122779	TRIM24	8805
ENSG00000122783	C7orf49	78996
ENSG00000122786	CALD1	800
ENSG00000122787	AKR1D1	6718
ENSG00000122824	NUDT10	170685
ENSG00000122852	SFTPA1	653509
ENSG00000122854	NA	NA
ENSG00000122859	NEUROG3	50674
ENSG00000122861	PLAU	5328
ENSG00000122862	SRGN	5552
ENSG00000122863	CHST3	9469
ENSG00000122870	BICC1	80114
ENSG00000122872	ARL4AP1	NA
ENSG00000122873	CISD1	55847
ENSG00000122877	EGR2	1959
ENSG00000122882	ECD	11319
ENSG00000122884	P4HA1	5033
ENSG00000122912	SLC25A16	8034
ENSG00000122952	ZWINT	11130
ENSG00000122958	VPS26A	9559
ENSG00000122965	RBM19	9904
ENSG00000122966	CIT	11113
ENSG00000122970	IFT81	28981
ENSG00000122971	ACADS	35
ENSG00000122986	HVCN1	84329
ENSG00000123009	NME2P1	NA
ENSG00000123064	DDX54	79039
ENSG00000123066	MED13L	23389
ENSG00000123080	CDKN2C	1031
ENSG00000123091	RNF11	26994
ENSG00000123094	RASSF8	11228
ENSG00000123095	BHLHE41	79365
ENSG00000123096	SSPN	8082
ENSG00000123104	ITPR2	3709
ENSG00000123106	CCDC91	55297
ENSG00000123119	NECAB1	64168
ENSG00000123124	WWP1	11059
ENSG00000123130	ACOT9	23597
ENSG00000123131	PRDX4	10549
ENSG00000123136	DDX39A	10212
ENSG00000123143	PKN1	5585
ENSG00000123144	C19orf43	79002
ENSG00000123146	ADGRE5	976
ENSG00000123154	WDR83	84292
ENSG00000123159	GIPC1	10755
ENSG00000123165	ACTRT1	139741
ENSG00000123171	CCDC70	83446
ENSG00000123178	SPRYD7	57213
ENSG00000123179	EBPL	84650
ENSG00000123191	ATP7B	540
ENSG00000123200	ZC3H13	23091
ENSG00000123201	GUCY1B2	2974
ENSG00000123213	NLN	57486
ENSG00000123219	CENPK	64105
ENSG00000123240	OPTN	10133
ENSG00000123243	ITIH5	80760
ENSG00000123268	ATF1	466
ENSG00000123297	TSFM	10102
ENSG00000123307	NEUROD4	58158
ENSG00000123329	ARHGAP9	64333
